Frame,Pixel Count
MOG2,3859
KNN,495
CNT,3492
GMG,3507
MOG,2001
MOG2,3824
KNN,487
CNT,3456
GMG,3493
MOG,1994
MOG2,3795
KNN,464
CNT,3418
GMG,3516
MOG,2005
MOG2,3847
KNN,472
CNT,3411
GMG,3512
MOG,1966
MOG2,3801
KNN,466
CNT,3419
GMG,3481
MOG,2027
MOG2,3822
KNN,457
CNT,3483
GMG,3556
MOG,1955
MOG2,3852
KNN,441
CNT,3507
GMG,3544
MOG,2029
MOG2,3850
KNN,432
CNT,3535
GMG,3538
MOG,2064
MOG2,3895
KNN,434
CNT,3505
GMG,3546
MOG,2063
MOG2,3911
KNN,422
CNT,3539
GMG,3543
MOG,2000
MOG2,3854
KNN,434
CNT,3526
GMG,3523
MOG,2053
MOG2,3877
KNN,424
CNT,3504
GMG,3624
MOG,2099
MOG2,3868
KNN,437
CNT,3560
GMG,3648
MOG,2141
MOG2,3930
KNN,433
CNT,3654
GMG,3665
MOG,2084
MOG2,3952
KNN,454
CNT,3694
GMG,3641
MOG,2101
MOG2,3943
KNN,443
CNT,3668
GMG,3676
MOG,2095
MOG2,3969
KNN,438
CNT,3657
GMG,3688
MOG,2114
MOG2,3972
KNN,450
CNT,3738
GMG,3675
MOG,2160
MOG2,3965
KNN,446
CNT,3696
GMG,3691
MOG,2170
MOG2,3988
KNN,439
CNT,3666
GMG,3691
MOG,2101
MOG2,3981
KNN,440
CNT,3671
GMG,3695
MOG,2168
MOG2,3976
KNN,435
CNT,3645
GMG,3630
MOG,2157
MOG2,3975
KNN,443
CNT,3447
GMG,3668
MOG,2171
MOG2,4009
KNN,449
CNT,3399
GMG,3656
MOG,2122
MOG2,4002
KNN,430
CNT,3383
GMG,3610
MOG,2098
MOG2,3974
KNN,427
CNT,3376
GMG,3634
MOG,2212
MOG2,3970
KNN,413
CNT,3382
GMG,3656
MOG,2199
MOG2,3966
KNN,434
CNT,3457
GMG,3677
MOG,2190
MOG2,3994
KNN,440
CNT,3461
GMG,3675
MOG,2225
MOG2,4041
KNN,459
CNT,3476
GMG,3651
MOG,2171
MOG2,4023
KNN,440
CNT,3406
GMG,3659
MOG,2211
MOG2,4057
KNN,461
CNT,3414
GMG,3675
MOG,2166
MOG2,4042
KNN,428
CNT,3411
GMG,3668
MOG,2216
MOG2,4053
KNN,455
CNT,3469
GMG,3609
MOG,2238
MOG2,4015
KNN,446
CNT,3385
GMG,3579
MOG,2214
MOG2,4025
KNN,446
CNT,3349
GMG,3548
MOG,2201
MOG2,4056
KNN,434
CNT,3375
GMG,3637
MOG,2220
MOG2,4066
KNN,441
CNT,3439
GMG,3597
MOG,2207
MOG2,4045
KNN,456
CNT,3398
GMG,3611
MOG,2154
MOG2,4078
KNN,465
CNT,3414
GMG,3630
MOG,2139
MOG2,4017
KNN,477
CNT,3423
GMG,3644
MOG,2222
MOG2,4036
KNN,476
CNT,3459
GMG,3816
MOG,2307
MOG2,4069
KNN,506
CNT,3810
GMG,3891
MOG,2296
MOG2,4152
KNN,515
CNT,3910
GMG,3943
MOG,2294
MOG2,4208
KNN,550
CNT,3987
GMG,3971
MOG,2324
MOG2,4240
KNN,563
CNT,4024
GMG,4008
MOG,2350
MOG2,4256
KNN,577
CNT,4097
GMG,4083
MOG,2319
MOG2,4306
KNN,568
CNT,4162
GMG,4204
MOG,2335
MOG2,4349
KNN,573
CNT,4292
GMG,4276
MOG,2387
MOG2,4426
KNN,567
CNT,4343
GMG,4247
MOG,2406
MOG2,4435
KNN,551
CNT,4298
GMG,4367
MOG,2433
MOG2,4505
KNN,570
CNT,4442
GMG,4406
MOG,2311
MOG2,4563
KNN,558
CNT,4468
GMG,4449
MOG,2378
MOG2,4683
KNN,546
CNT,4547
GMG,4457
MOG,2407
MOG2,4717
KNN,570
CNT,4556
GMG,4507
MOG,2457
MOG2,4778
KNN,558
CNT,4603
GMG,4561
MOG,2507
MOG2,4818
KNN,568
CNT,4617
GMG,5324
MOG,3845
MOG2,5154
KNN,550
CNT,6422
GMG,5132
MOG,3293
MOG2,5094
KNN,537
CNT,6175
GMG,5228
MOG,2995
MOG2,5319
KNN,581
CNT,6453
GMG,5160
MOG,2582
MOG2,5298
KNN,569
CNT,6373
GMG,5157
MOG,2524
MOG2,5345
KNN,580
CNT,6314
GMG,5215
MOG,2455
MOG2,5434
KNN,581
CNT,6357
GMG,5270
MOG,2414
MOG2,5480
KNN,572
CNT,6510
GMG,5278
MOG,2426
MOG2,5547
KNN,562
CNT,6464
GMG,5352
MOG,2412
MOG2,5651
KNN,592
CNT,6582
GMG,5384
MOG,2403
MOG2,5710
KNN,595
CNT,6579
GMG,5435
MOG,2384
MOG2,5754
KNN,607
CNT,6601
GMG,5464
MOG,2332
MOG2,5773
KNN,625
CNT,6583
GMG,5543
MOG,2315
MOG2,5843
KNN,633
CNT,6695
GMG,5530
MOG,2241
MOG2,5832
KNN,631
CNT,6707
GMG,5751
MOG,2196
MOG2,6021
KNN,685
CNT,7021
GMG,6004
MOG,2249
MOG2,6175
KNN,694
CNT,7185
GMG,6095
MOG,2270
MOG2,6275
KNN,721
CNT,7383
GMG,6249
MOG,2212
MOG2,6359
KNN,768
CNT,7501
GMG,6277
MOG,2205
MOG2,6406
KNN,778
CNT,7558
GMG,6304
MOG,2214
MOG2,6397
KNN,809
CNT,7524
GMG,6416
MOG,2191
MOG2,6542
KNN,823
CNT,7666
GMG,6493
MOG,2176
MOG2,6618
KNN,862
CNT,7724
GMG,6792
MOG,2147
MOG2,6795
KNN,909
CNT,7988
GMG,6871
MOG,2167
MOG2,6877
KNN,941
CNT,8086
GMG,7244
MOG,2198
MOG2,7161
KNN,1017
CNT,8512
GMG,7363
MOG,2178
MOG2,7262
KNN,1056
CNT,8646
GMG,7625
MOG,2137
MOG2,7471
KNN,1098
CNT,8954
GMG,7728
MOG,2164
MOG2,7515
KNN,1150
CNT,9077
GMG,7876
MOG,2214
MOG2,7636
KNN,1168
CNT,9128
GMG,7951
MOG,2186
MOG2,7706
KNN,1205
CNT,9179
GMG,8192
MOG,2225
MOG2,7863
KNN,1202
CNT,9436
GMG,8340
MOG,2253
MOG2,8020
KNN,1238
CNT,9550
GMG,8435
MOG,2233
MOG2,8093
KNN,1272
CNT,9613
GMG,8481
MOG,2193
MOG2,8146
KNN,1291
CNT,9629
GMG,8691
MOG,2270
MOG2,8346
KNN,1362
CNT,9914
GMG,8794
MOG,2287
MOG2,8449
KNN,1476
CNT,9954
GMG,8892
MOG,2280
MOG2,8574
KNN,1523
CNT,10015
GMG,8947
MOG,2285
MOG2,8657
KNN,1535
CNT,9965
GMG,9092
MOG,2217
MOG2,8718
KNN,1545
CNT,10136
GMG,9121
MOG,2242
MOG2,8777
KNN,1573
CNT,10073
GMG,9146
MOG,2314
MOG2,8839
KNN,1577
CNT,10020
GMG,9212
MOG,2353
MOG2,8878
KNN,1586
CNT,9982
GMG,9310
MOG,2440
MOG2,8975
KNN,1574
CNT,10155
GMG,9376
MOG,2437
MOG2,9019
KNN,1574
CNT,10076
GMG,9434
MOG,2429
MOG2,9068
KNN,1580
CNT,10126
GMG,9511
MOG,2530
MOG2,9138
KNN,1584
CNT,10157
GMG,9782
MOG,2490
MOG2,9369
KNN,1626
CNT,10435
GMG,9817
MOG,2438
MOG2,9437
KNN,1683
CNT,10393
GMG,9898
MOG,2493
MOG2,9535
KNN,1688
CNT,10394
GMG,9876
MOG,2481
MOG2,9507
KNN,1708
CNT,10295
GMG,10056
MOG,2544
MOG2,9685
KNN,1718
CNT,10570
GMG,10104
MOG,2603
MOG2,9734
KNN,1756
CNT,10491
GMG,10238
MOG,2602
MOG2,9826
KNN,1778
CNT,10531
GMG,10251
MOG,2567
MOG2,9873
KNN,1793
CNT,10478
GMG,10432
MOG,2594
MOG2,10009
KNN,1792
CNT,10437
GMG,10452
MOG,2624
MOG2,10040
KNN,1805
CNT,10017
GMG,10488
MOG,2640
MOG2,10095
KNN,1817
CNT,9932
GMG,10522
MOG,2627
MOG2,10146
KNN,1848
CNT,9778
GMG,10537
MOG,2646
MOG2,10223
KNN,1822
CNT,9764
GMG,10514
MOG,2617
MOG2,10274
KNN,1825
CNT,9579
GMG,10514
MOG,2695
MOG2,10339
KNN,1812
CNT,9593
GMG,10481
MOG,2666
MOG2,10371
KNN,1828
CNT,9403
GMG,10557
MOG,2719
MOG2,10450
KNN,1862
CNT,9487
GMG,10527
MOG,2734
MOG2,10461
KNN,1878
CNT,9358
GMG,10528
MOG,2659
MOG2,10468
KNN,1862
CNT,9288
GMG,10478
MOG,2705
MOG2,10498
KNN,1890
CNT,9145
GMG,10480
MOG,2676
MOG2,10556
KNN,1903
CNT,9099
GMG,10477
MOG,2753
MOG2,10549
KNN,1902
CNT,8979
GMG,10432
MOG,2744
MOG2,10588
KNN,1898
CNT,8870
GMG,10336
MOG,2761
MOG2,10565
KNN,1882
CNT,8674
GMG,10322
MOG,2812
MOG2,10569
KNN,1816
CNT,8664
GMG,10287
MOG,2792
MOG2,10598
KNN,1822
CNT,8451
GMG,10261
MOG,2688
MOG2,10627
KNN,1787
CNT,8284
GMG,10207
MOG,2637
MOG2,10598
KNN,1782
CNT,8062
GMG,10297
MOG,2721
MOG2,10710
KNN,1792
CNT,8073
GMG,10279
MOG,2772
MOG2,10692
KNN,1772
CNT,7965
GMG,10230
MOG,2785
MOG2,10714
KNN,1745
CNT,7770
GMG,10239
MOG,2848
MOG2,10698
KNN,1776
CNT,7653
GMG,10251
MOG,2835
MOG2,10737
KNN,1729
CNT,7508
GMG,10152
MOG,2720
MOG2,10726
KNN,1699
CNT,7240
GMG,10071
MOG,2720
MOG2,10753
KNN,1664
CNT,7069
GMG,9940
MOG,2662
MOG2,10662
KNN,1642
CNT,6716
GMG,9874
MOG,2698
MOG2,10671
KNN,1597
CNT,6514
GMG,9814
MOG,2714
MOG2,10638
KNN,1570
CNT,6353
GMG,9682
MOG,2650
MOG2,10637
KNN,1582
CNT,6158
GMG,9567
MOG,2596
MOG2,10556
KNN,1586
CNT,5870
GMG,9528
MOG,2464
MOG2,10579
KNN,1557
CNT,5755
GMG,9443
MOG,2444
MOG2,10600
KNN,1550
CNT,5563
GMG,9360
MOG,2309
MOG2,10575
KNN,1521
CNT,5482
GMG,9235
MOG,2342
MOG2,10524
KNN,1519
CNT,5306
GMG,9459
MOG,3002
MOG2,10688
KNN,1473
CNT,6733
GMG,9332
MOG,2852
MOG2,10651
KNN,1410
CNT,6654
GMG,9291
MOG,2605
MOG2,10661
KNN,1401
CNT,6645
GMG,9281
MOG,2313
MOG2,10754
KNN,1377
CNT,6580
GMG,9199
MOG,2223
MOG2,10765
KNN,1390
CNT,6539
GMG,9104
MOG,2258
MOG2,10755
KNN,1349
CNT,6403
GMG,9051
MOG,2191
MOG2,10708
KNN,1320
CNT,6384
GMG,8991
MOG,2233
MOG2,10816
KNN,1292
CNT,6321
GMG,8897
MOG,2149
MOG2,10759
KNN,1271
CNT,6234
GMG,8865
MOG,2128
MOG2,10822
KNN,1227
CNT,6199
GMG,8789
MOG,2172
MOG2,10813
KNN,1194
CNT,6073
GMG,8711
MOG,2132
MOG2,10906
KNN,1149
CNT,6016
GMG,8622
MOG,2142
MOG2,10867
KNN,1128
CNT,5944
GMG,8619
MOG,2036
MOG2,10873
KNN,1089
CNT,5932
GMG,8529
MOG,1962
MOG2,10834
KNN,1082
CNT,5856
GMG,8600
MOG,2070
MOG2,10918
KNN,1062
CNT,5950
GMG,8523
MOG,2024
MOG2,10929
KNN,1074
CNT,5919
GMG,8518
MOG,1995
MOG2,10963
KNN,1039
CNT,5896
GMG,8425
MOG,1912
MOG2,10953
KNN,1030
CNT,5813
GMG,8355
MOG,1976
MOG2,11020
KNN,997
CNT,5891
GMG,8329
MOG,2037
MOG2,11046
KNN,978
CNT,5810
GMG,8309
MOG,2037
MOG2,11118
KNN,902
CNT,5732
GMG,8193
MOG,2023
MOG2,11104
KNN,899
CNT,5677
GMG,8189
MOG,2075
MOG2,11237
KNN,882
CNT,5725
GMG,8143
MOG,2121
MOG2,11278
KNN,903
CNT,5730
GMG,8095
MOG,2116
MOG2,11330
KNN,897
CNT,5833
GMG,7994
MOG,2124
MOG2,11319
KNN,904
CNT,5805
GMG,8035
MOG,2060
MOG2,11392
KNN,885
CNT,5893
GMG,7974
MOG,2078
MOG2,11489
KNN,932
CNT,5852
GMG,7958
MOG,2069
MOG2,11541
KNN,931
CNT,5906
GMG,8011
MOG,2047
MOG2,11583
KNN,970
CNT,6140
GMG,7976
MOG,2102
MOG2,11596
KNN,960
CNT,6101
GMG,7941
MOG,2091
MOG2,11628
KNN,974
CNT,6090
GMG,7891
MOG,2114
MOG2,11629
KNN,954
CNT,6007
GMG,7814
MOG,2192
MOG2,11749
KNN,947
CNT,6011
GMG,7714
MOG,2165
MOG2,11724
KNN,935
CNT,5919
GMG,7704
MOG,2224
MOG2,11861
KNN,963
CNT,5948
GMG,7656
MOG,2151
MOG2,11852
KNN,957
CNT,5873
GMG,7673
MOG,2218
MOG2,11973
KNN,957
CNT,5961
GMG,7638
MOG,2229
MOG2,12039
KNN,990
CNT,5887
GMG,7598
MOG,2233
MOG2,12032
KNN,957
CNT,5879
GMG,7555
MOG,2285
MOG2,12021
KNN,964
CNT,5817
GMG,7513
MOG,2250
MOG2,12116
KNN,954
CNT,5870
GMG,7446
MOG,2292
MOG2,12094
KNN,960
CNT,5773
GMG,7362
MOG,2288
MOG2,12120
KNN,951
CNT,5755
GMG,7321
MOG,2357
MOG2,12113
KNN,950
CNT,5776
GMG,7440
MOG,2344
MOG2,12281
KNN,953
CNT,5954
GMG,7370
MOG,2371
MOG2,12315
KNN,953
CNT,5909
GMG,7357
MOG,2304
MOG2,12330
KNN,952
CNT,5917
GMG,7270
MOG,2323
MOG2,12335
KNN,941
CNT,5837
GMG,7266
MOG,2411
MOG2,12399
KNN,944
CNT,5854
GMG,7240
MOG,2420
MOG2,12408
KNN,922
CNT,5825
GMG,7207
MOG,2473
MOG2,12445
KNN,914
CNT,5852
GMG,7195
MOG,2436
MOG2,12506
KNN,955
CNT,5800
GMG,7185
MOG,2424
MOG2,12588
KNN,943
CNT,5636
GMG,7124
MOG,2467
MOG2,12587
KNN,940
CNT,5391
GMG,7197
MOG,2572
MOG2,12710
KNN,907
CNT,5373
GMG,7215
MOG,2509
MOG2,12753
KNN,909
CNT,5450
GMG,7190
MOG,2524
MOG2,12747
KNN,909
CNT,5382
GMG,7188
MOG,2532
MOG2,12764
KNN,926
CNT,5393
GMG,7216
MOG,2591
MOG2,12893
KNN,934
CNT,5346
GMG,7186
MOG,2632
MOG2,12922
KNN,988
CNT,5412
GMG,7228
MOG,2596
MOG2,12963
KNN,1002
CNT,5415
GMG,7196
MOG,2700
MOG2,12995
KNN,1013
CNT,5486
GMG,7216
MOG,2792
MOG2,13114
KNN,1043
CNT,5524
GMG,7259
MOG,2867
MOG2,13160
KNN,1040
CNT,5560
GMG,7366
MOG,2968
MOG2,13268
KNN,1086
CNT,5677
GMG,7404
MOG,2931
MOG2,13292
KNN,1157
CNT,5734
GMG,7486
MOG,3097
MOG2,13465
KNN,1188
CNT,5858
GMG,7493
MOG,3085
MOG2,13544
KNN,1218
CNT,5915
GMG,7584
MOG,3102
MOG2,13589
KNN,1262
CNT,5973
GMG,7582
MOG,3163
MOG2,13662
KNN,1331
CNT,5968
GMG,7652
MOG,3275
MOG2,13826
KNN,1353
CNT,6064
GMG,7603
MOG,3350
MOG2,13801
KNN,1369
CNT,5989
GMG,7664
MOG,3413
MOG2,13972
KNN,1433
CNT,6094
GMG,7752
MOG,3426
MOG2,13966
KNN,1502
CNT,6204
GMG,7829
MOG,3550
MOG2,14004
KNN,1550
CNT,6240
GMG,7850
MOG,3694
MOG2,14025
KNN,1571
CNT,6249
GMG,7793
MOG,3641
MOG2,14078
KNN,1615
CNT,6234
GMG,7874
MOG,3745
MOG2,14120
KNN,1660
CNT,6281
GMG,7958
MOG,3773
MOG2,14237
KNN,1704
CNT,6324
GMG,7996
MOG,3952
MOG2,14396
KNN,1773
CNT,6397
GMG,8082
MOG,4024
MOG2,14453
KNN,1816
CNT,6443
GMG,8183
MOG,4006
MOG2,14595
KNN,1915
CNT,6559
GMG,8264
MOG,4066
MOG2,14670
KNN,1970
CNT,6595
GMG,8317
MOG,4086
MOG2,14749
KNN,1968
CNT,6660
GMG,8331
MOG,4161
MOG2,14718
KNN,2033
CNT,6633
GMG,8413
MOG,4229
MOG2,14799
KNN,2035
CNT,6697
GMG,8490
MOG,4278
MOG2,14933
KNN,2078
CNT,6784
GMG,8497
MOG,4368
MOG2,14965
KNN,2095
CNT,6785
GMG,9154
MOG,5471
MOG2,15338
KNN,2109
CNT,8048
GMG,9142
MOG,5013
MOG2,15381
KNN,2123
CNT,8061
GMG,9172
MOG,4686
MOG2,15403
KNN,2131
CNT,8102
GMG,9214
MOG,4586
MOG2,15445
KNN,2171
CNT,8090
GMG,9219
MOG,4616
MOG2,15446
KNN,2162
CNT,8027
GMG,9209
MOG,4618
MOG2,15430
KNN,2175
CNT,8040
GMG,9229
MOG,4641
MOG2,15399
KNN,2197
CNT,7958
GMG,9178
MOG,4659
MOG2,15481
KNN,2194
CNT,7933
GMG,9186
MOG,4690
MOG2,15475
KNN,2227
CNT,7952
GMG,9248
MOG,4789
MOG2,15601
KNN,2213
CNT,8008
GMG,9309
MOG,4725
MOG2,15666
KNN,2238
CNT,8052
GMG,9299
MOG,4777
MOG2,15633
KNN,2221
CNT,8045
GMG,9335
MOG,4826
MOG2,15677
KNN,2225
CNT,8114
GMG,9301
MOG,4823
MOG2,15666
KNN,2195
CNT,8047
GMG,9251
MOG,4760
MOG2,15700
KNN,2222
CNT,8044
GMG,9310
MOG,4611
MOG2,15745
KNN,2161
CNT,8139
GMG,9295
MOG,4704
MOG2,15657
KNN,2108
CNT,8064
GMG,9294
MOG,4674
MOG2,15707
KNN,2065
CNT,8041
GMG,9184
MOG,4502
MOG2,15650
KNN,2069
CNT,7968
GMG,9166
MOG,4440
MOG2,15701
KNN,2019
CNT,8000
GMG,9100
MOG,4472
MOG2,15704
KNN,1993
CNT,7884
GMG,9167
MOG,4375
MOG2,15793
KNN,2014
CNT,7940
GMG,9184
MOG,4286
MOG2,15788
KNN,2013
CNT,7897
GMG,9190
MOG,4184
MOG2,15836
KNN,2032
CNT,7879
GMG,9127
MOG,4221
MOG2,15862
KNN,2030
CNT,7830
GMG,9069
MOG,4191
MOG2,15855
KNN,2035
CNT,7759
GMG,8952
MOG,4070
MOG2,15784
KNN,2030
CNT,7635
GMG,8943
MOG,4072
MOG2,15804
KNN,2017
CNT,7644
GMG,8878
MOG,4020
MOG2,15786
KNN,2003
CNT,7532
GMG,8788
MOG,4049
MOG2,15809
KNN,2024
CNT,7434
GMG,8986
MOG,4119
MOG2,15848
KNN,1983
CNT,7637
GMG,8883
MOG,4107
MOG2,15860
KNN,1960
CNT,7497
GMG,8872
MOG,4018
MOG2,15834
KNN,1949
CNT,7431
GMG,8837
MOG,4053
MOG2,15912
KNN,1974
CNT,7365
GMG,8776
MOG,3956
MOG2,15839
KNN,2020
CNT,7273
GMG,8777
MOG,3993
MOG2,15950
KNN,2057
CNT,7304
GMG,8803
MOG,3981
MOG2,15973
KNN,2042
CNT,7266
GMG,8782
MOG,4040
MOG2,16013
KNN,2015
CNT,7262
GMG,8764
MOG,4058
MOG2,16035
KNN,2060
CNT,7242
GMG,8710
MOG,4126
MOG2,16046
KNN,2069
CNT,7226
GMG,8674
MOG,4047
MOG2,16060
KNN,2099
CNT,7189
GMG,8706
MOG,4007
MOG2,16081
KNN,2094
CNT,7219
GMG,8618
MOG,3959
MOG2,15978
KNN,2119
CNT,7087
GMG,8566
MOG,4033
MOG2,16046
KNN,2154
CNT,7048
GMG,8467
MOG,3969
MOG2,15963
KNN,2142
CNT,6947
GMG,8566
MOG,4062
MOG2,15979
KNN,2166
CNT,7083
GMG,8611
MOG,4001
MOG2,15859
KNN,2113
CNT,7141
GMG,8508
MOG,3947
MOG2,16005
KNN,2138
CNT,7020
GMG,8483
MOG,3943
MOG2,16006
KNN,2172
CNT,7005
GMG,8452
MOG,3927
MOG2,16092
KNN,2207
CNT,7006
GMG,8463
MOG,3919
MOG2,16064
KNN,2177
CNT,7023
GMG,8539
MOG,4064
MOG2,16224
KNN,2193
CNT,7066
GMG,8549
MOG,4042
MOG2,16298
KNN,2303
CNT,7085
GMG,8580
MOG,4077
MOG2,16312
KNN,2300
CNT,7042
GMG,8541
MOG,4063
MOG2,16265
KNN,2338
CNT,6886
GMG,8557
MOG,4081
MOG2,16259
KNN,2276
CNT,6850
GMG,8489
MOG,4046
MOG2,16273
KNN,2228
CNT,6778
GMG,8435
MOG,4053
MOG2,16187
KNN,2172
CNT,6707
GMG,8402
MOG,3915
MOG2,16122
KNN,2199
CNT,6615
GMG,8447
MOG,3946
MOG2,16249
KNN,2194
CNT,6678
GMG,8531
MOG,3929
MOG2,16144
KNN,2140
CNT,6836
GMG,8488
MOG,3898
MOG2,16190
KNN,2199
CNT,6803
GMG,8387
MOG,3845
MOG2,16112
KNN,2117
CNT,6700
GMG,8367
MOG,3758
MOG2,16146
KNN,2108
CNT,6714
GMG,8300
MOG,3826
MOG2,16113
KNN,2084
CNT,6663
GMG,8297
MOG,3784
MOG2,16065
KNN,2040
CNT,6631
GMG,8216
MOG,3689
MOG2,16014
KNN,2002
CNT,6569
GMG,8299
MOG,3690
MOG2,16155
KNN,2043
CNT,6641
GMG,8260
MOG,3643
MOG2,16115
KNN,2033
CNT,6628
GMG,8308
MOG,3603
MOG2,16164
KNN,2030
CNT,6693
GMG,8314
MOG,3624
MOG2,16087
KNN,2036
CNT,6706
GMG,8343
MOG,3612
MOG2,16153
KNN,1992
CNT,6675
GMG,8225
MOG,3576
MOG2,16056
KNN,1925
CNT,6589
GMG,8106
MOG,3574
MOG2,16053
KNN,1901
CNT,6474
GMG,8062
MOG,3414
MOG2,16009
KNN,1856
CNT,6400
GMG,8065
MOG,3447
MOG2,16023
KNN,1812
CNT,6526
GMG,8012
MOG,3457
MOG2,16006
KNN,1749
CNT,6485
GMG,7869
MOG,3409
MOG2,15941
KNN,1617
CNT,6327
GMG,7788
MOG,3358
MOG2,15879
KNN,1609
CNT,6220
GMG,7719
MOG,3341
MOG2,15922
KNN,1532
CNT,6142
GMG,7572
MOG,3240
MOG2,15893
KNN,1504
CNT,6019
GMG,7462
MOG,3150
MOG2,15889
KNN,1460
CNT,5908
GMG,7407
MOG,3135
MOG2,15814
KNN,1432
CNT,5868
GMG,7344
MOG,3159
MOG2,15865
KNN,1399
CNT,5802
GMG,7264
MOG,3023
MOG2,15831
KNN,1368
CNT,5722
GMG,7185
MOG,2949
MOG2,15784
KNN,1334
CNT,5674
GMG,7125
MOG,2961
MOG2,15783
KNN,1326
CNT,5620
GMG,7077
MOG,3039
MOG2,15783
KNN,1355
CNT,5554
GMG,7101
MOG,3054
MOG2,15836
KNN,1349
CNT,5579
GMG,7125
MOG,3074
MOG2,15766
KNN,1383
CNT,5597
GMG,7619
MOG,4547
MOG2,16166
KNN,1414
CNT,6666
GMG,7634
MOG,3985
MOG2,16191
KNN,1460
CNT,6633
GMG,7636
MOG,3488
MOG2,16238
KNN,1514
CNT,6707
GMG,7546
MOG,3237
MOG2,16241
KNN,1532
CNT,6660
GMG,7581
MOG,3296
MOG2,16246
KNN,1548
CNT,6679
GMG,7637
MOG,3345
MOG2,16315
KNN,1592
CNT,6730
GMG,7561
MOG,3451
MOG2,16279
KNN,1620
CNT,6640
GMG,7478
MOG,3615
MOG2,16336
KNN,1699
CNT,6609
GMG,7527
MOG,3669
MOG2,16388
KNN,1709
CNT,6693
GMG,7558
MOG,3768
MOG2,16264
KNN,1757
CNT,6659
GMG,7604
MOG,3897
MOG2,16347
KNN,1768
CNT,6693
GMG,7614
MOG,3997
MOG2,16306
KNN,1804
CNT,6686
GMG,7565
MOG,4028
MOG2,16377
KNN,1825
CNT,6601
GMG,7607
MOG,4071
MOG2,16346
KNN,1878
CNT,6614
GMG,7518
MOG,4119
MOG2,16432
KNN,1869
CNT,6569
GMG,7597
MOG,4258
MOG2,16412
KNN,1914
CNT,6663
GMG,7608
MOG,4223
MOG2,16596
KNN,1921
CNT,6596
GMG,7563
MOG,4249
MOG2,16548
KNN,1861
CNT,6522
GMG,7507
MOG,4203
MOG2,16675
KNN,1887
CNT,6526
GMG,7490
MOG,4267
MOG2,16731
KNN,1910
CNT,6536
GMG,7505
MOG,4310
MOG2,16874
KNN,1959
CNT,6576
GMG,7441
MOG,4353
MOG2,16838
KNN,1973
CNT,6478
GMG,7333
MOG,4413
MOG2,16868
KNN,1895
CNT,6335
GMG,7293
MOG,4415
MOG2,16954
KNN,1917
CNT,6312
GMG,7254
MOG,4452
MOG2,17003
KNN,1925
CNT,6264
GMG,7206
MOG,4456
MOG2,16901
KNN,1919
CNT,6181
GMG,7038
MOG,4430
MOG2,16971
KNN,1851
CNT,6085
GMG,7013
MOG,4356
MOG2,16903
KNN,1810
CNT,6016
GMG,6948
MOG,4335
MOG2,16923
KNN,1806
CNT,6028
GMG,6918
MOG,4349
MOG2,16881
KNN,1798
CNT,5990
GMG,6862
MOG,4317
MOG2,16945
KNN,1774
CNT,5950
GMG,6852
MOG,4344
MOG2,16918
KNN,1749
CNT,5861
GMG,6786
MOG,4381
MOG2,16936
KNN,1710
CNT,5773
GMG,6730
MOG,4279
MOG2,16887
KNN,1694
CNT,5675
GMG,6701
MOG,4293
MOG2,16954
KNN,1646
CNT,5682
GMG,6671
MOG,4232
MOG2,16966
KNN,1624
CNT,5592
GMG,6634
MOG,4287
MOG2,17030
KNN,1618
CNT,5570
GMG,6594
MOG,4300
MOG2,17000
KNN,1574
CNT,5528
GMG,6582
MOG,4332
MOG2,17147
KNN,1571
CNT,5473
GMG,6475
MOG,4219
MOG2,17077
KNN,1542
CNT,5332
GMG,6450
MOG,4274
MOG2,17097
KNN,1560
CNT,5306
GMG,6419
MOG,4196
MOG2,17087
KNN,1540
CNT,5237
GMG,6309
MOG,4127
MOG2,17126
KNN,1494
CNT,5104
GMG,6186
MOG,4128
MOG2,17011
KNN,1496
CNT,4975
GMG,6148
MOG,4093
MOG2,17066
KNN,1487
CNT,4960
GMG,6089
MOG,4043
MOG2,16932
KNN,1462
CNT,4927
GMG,5911
MOG,4028
MOG2,16999
KNN,1432
CNT,4729
GMG,5875
MOG,3921
MOG2,16961
KNN,1388
CNT,4659
GMG,5784
MOG,3935
MOG2,16956
KNN,1391
CNT,4585
GMG,5719
MOG,3881
MOG2,16909
KNN,1350
CNT,4549
GMG,5679
MOG,3876
MOG2,16966
KNN,1321
CNT,4472
GMG,5602
MOG,3881
MOG2,16923
KNN,1307
CNT,4474
GMG,5608
MOG,3953
MOG2,16967
KNN,1261
CNT,4487
GMG,5543
MOG,3855
MOG2,16920
KNN,1246
CNT,4365
GMG,5487
MOG,3878
MOG2,16975
KNN,1221
CNT,4161
GMG,5448
MOG,3852
MOG2,17002
KNN,1220
CNT,4135
GMG,5366
MOG,3824
MOG2,16986
KNN,1182
CNT,4045
GMG,5378
MOG,3793
MOG2,16925
KNN,1263
CNT,4042
GMG,5359
MOG,3763
MOG2,17030
KNN,1227
CNT,4060
GMG,5335
MOG,3701
MOG2,16982
KNN,1211
CNT,4015
GMG,5470
MOG,3650
MOG2,16954
KNN,1209
CNT,4190
GMG,5407
MOG,3628
MOG2,16942
KNN,1196
CNT,4131
GMG,5341
MOG,3615
MOG2,17113
KNN,1219
CNT,4069
GMG,5267
MOG,3545
MOG2,17029
KNN,1140
CNT,3973
GMG,5193
MOG,3521
MOG2,17016
KNN,1113
CNT,3946
GMG,5186
MOG,3528
